GRASA S/P,Aderezo mil islas, 1/2,cucharada,8,8,28,0.0,2.7,1.1,0.5,0.6,1.5,1.9,52.5
GRASA S/P,Aderezo ranch, 1/2,cucharada,8,8,44,0.0,4.7,0.5,0.8,0.0,0.0,1.3,69.8
GRASA S/P,Aderezo roquefort, 1/2,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,1.5,82.0
GRASA S/P,Aderezo ruso, 1/2,cucharada,8,8,37,0.1,3.8,0.8,0.6,0.9,2.2,1.5,65.0
GRASA S/P,Aderezo tipo blue cheese, 1/2,cucharada,8,8,38,0.4,3.9,0.6,0.8,0.9,2.1,1.5,82.0
GRASA S/P,Aderezo tipo cesar, 1/2,cucharada,8,8,33,0.3,3.3,0.5,0.6,0.0,0.0,1.3,95.5
GRASA S/P,Aderezo tipo francés, 1/2,cucharada,8,8,32,0,3.1,1.3,0.7,0.6,1.6,0.0,102.7
GRASA S/P,Aderezo tipo mil islas, 1/2,cucharada,8,8,28,0.0,2.7,1.1,0.5,0.6,1.5,1.9,52.5
GRASA S/P,Aderezo tipo ranch, 1/2,cucharada,8,8,44,0.0,4.7,0.5,0.8,0.0,0.0,1.3,69.8
GRASA S/P,Aderezo vinagreta casera,2,cucharada,10,10,45,0.0,5.0,0.3,0.9,1.5,2.4,0.0,0.0
GRASA S/P,Aderezo vinagreta comercial,4,cucharadita,20,20,41,0.0,3.3,2.7,0.7,0.0,0.0,0.0,166.7
GRASA S/P,Aguacate California, 1/3,cucharadita,58,58,54,0.7,5.3,2.1,0.8,2.4,0.6,0.0,3.7
GRASA S/P,Aguacate de pellejo,1 1/2,pieza,68,68,44,0.5,4.5,2.0,0.7,0.0,0.4,0.0,1.4
GRASA S/P,Aguacate florida, 1/3,pieza,101,101,60,0.8,4.8,4.8,0.9,0.6,0.8,0.0,2.6
GRASA S/P,Aguacate hass, 1/3,pieza,58,58,54,0.7,5.3,2.1,0.8,0.4,0.6,0.0,3.7
